national,south,north,east,central,west,year,month
47,44,37,47,47,34,2016,2
59,57,54,59,57,56,2016,2
59,57,55,59,57,56,2016,2
59,57,55,59,56,56,2016,2
59,58,55,59,56,56,2016,2
59,58,55,59,56,56,2016,2
59,58,55,59,57,56,2016,2
60,58,55,60,57,56,2016,2
60,58,56,60,57,56,2016,2
61,58,57,61,57,56,2016,2
61,58,57,61,57,57,2016,2
62,58,57,62,57,57,2016,2
62,58,58,62,58,58,2016,2
62,58,58,62,58,58,2016,2
63,59,58,63,59,59,2016,2
63,59,59,63,59,59,2016,2
63,59,59,63,59,60,2016,2
63,59,59,63,59,60,2016,2
64,60,59,64,59,60,2016,2
63,60,59,63,59,60,2016,2
63,60,59,63,59,60,2016,2
63,59,58,63,59,60,2016,2
63,59,59,63,59,60,2016,2
63,59,58,63,59,60,2016,2
63,59,58,63,59,60,2016,2
62,58,57,62,59,59,2016,2
62,58,57,62,58,59,2016,2
62,57,56,62,58,58,2016,2
62,57,56,62,58,58,2016,2
61,56,55,61,57,57,2016,2
61,56,55,61,57,57,2016,2
61,56,55,61,57,56,2016,2
60,55,54,60,56,56,2016,2
60,55,54,60,56,56,2016,2
60,55,53,60,55,55,2016,2
59,54,53,59,55,55,2016,2
59,54,53,59,55,54,2016,2
58,54,53,58,54,54,2016,2
58,53,53,58,54,53,2016,2
58,54,53,58,53,53,2016,2
57,54,53,57,53,53,2016,2
57,53,52,57,53,53,2016,2
57,53,52,57,53,53,2016,2
57,53,52,57,52,53,2016,2
56,53,52,56,52,53,2016,2
56,53,51,56,51,52,2016,2
55,52,51,55,50,52,2016,2
55,51,48,55,47,51,2016,2
54,48,47,54,44,48,2016,2
53,47,45,53,43,46,2016,2
52,47,44,52,42,44,2016,2
52,45,42,52,41,43,2016,2
51,44,40,51,38,41,2016,2
49,43,39,49,36,40,2016,2
47,40,37,47,35,39,2016,2
45,41,35,45,35,37,2016,2
44,40,34,44,34,35,2016,2
41,39,34,41,34,35,2016,2
40,39,33,40,32,32,2016,2
37,36,32,37,31,33,2016,2
36,35,32,36,30,31,2016,2
35,35,30,35,30,31,2016,2
33,32,29,33,28,29,2016,2
31,29,28,31,27,28,2016,2
30,28,27,30,26,27,2016,2
28,26,27,28,25,26,2016,2
28,26,26,28,25,26,2016,2
28,26,26,28,25,26,2016,2
